GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cashback,com.store.cashback.config,Swagger2Config,41,0,0,0,13,0,3,0,3,0
cashback,com.store.cashback,CashbackApplication,5,3,0,0,2,1,1,1,1,1
cashback,com.store.cashback.util,UUIDUtils,6,0,0,0,1,0,1,0,1,0
cashback,com.store.cashback.spotify,SpotifyClient,72,0,0,0,18,0,5,0,5,0
cashback,com.store.cashback.service,CashbackService,22,0,0,0,4,0,3,0,3,0
cashback,com.store.cashback.service,SpotifyService,135,0,2,0,33,0,9,0,8,0
cashback,com.store.cashback.service,SaleService,170,4,8,0,37,1,9,1,5,1
cashback,com.store.cashback.service,AlbumService,66,4,4,0,14,1,7,1,5,1
cashback,com.store.cashback.resource,SaleResource,80,38,0,0,24,7,1,4,1,4
cashback,com.store.cashback.resource,AlbumResource,44,36,0,0,14,6,0,4,0,4
cashback,com.store.cashback.entity,Cashback,46,0,0,0,7,0,10,0,10,0
cashback,com.store.cashback.entity,Sale,35,21,0,0,2,6,5,5,5,5
cashback,com.store.cashback.entity,Album,86,30,6,0,9,5,13,5,10,5
cashback,com.store.cashback.entity,SaleAlbum,76,0,0,0,10,0,16,0,16,0
cashback,com.store.cashback.exception,InvalidParamsException,29,0,0,0,13,0,7,0,7,0
cashback,com.store.cashback.enums,Genres,3,66,0,0,1,10,1,3,1,3
cashback,com.store.cashback.response,Response,56,34,2,2,10,9,8,5,6,5
cashback,com.store.cashback.response,ErrorResponse,17,0,0,0,4,0,5,0,5,0
